"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1303","RT @MarkMahon: Weekend Actuals: #LEGOBatmanMovie - $53M, #FiftyShadesDarker- $46.6, #JohnWick2 - $30.4M, #SplitMovie - $9.5M &amp; #HiddenFigur…",FALSE,0,NA,2017-02-19 07:52:39,FALSE,NA,"833222753058697216",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JohanneBritting",412,TRUE,FALSE,NA,NA
"1304","RT @VivziePop: https://t.co/fhIHDTPv4G Finished this goofy thing. I love ""Between two ferns""-and Lego Joker-so. ENJOY? #LEGOBatmanMovie",FALSE,0,NA,2017-02-19 07:52:15,FALSE,NA,"833222652013735937",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","psith_",36,TRUE,FALSE,NA,NA
"1305","RT @VivziePop: https://t.co/fhIHDTPv4G Finished this goofy thing. I love ""Between two ferns""-and Lego Joker-so. ENJOY? #LEGOBatmanMovie",FALSE,0,NA,2017-02-19 07:51:27,FALSE,NA,"833222453082075136",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","blabberdookie",36,TRUE,FALSE,NA,NA
"1306","RT @VivziePop: https://t.co/fhIHDTPv4G Finished this goofy thing. I love ""Between two ferns""-and Lego Joker-so. ENJOY? #LEGOBatmanMovie",FALSE,0,NA,2017-02-19 07:51:11,FALSE,NA,"833222383578267648",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TopSpinTheFuzzy",36,TRUE,FALSE,NA,NA
"1307","RT @VivziePop: https://t.co/fhIHDTPv4G Finished this goofy thing. I love ""Between two ferns""-and Lego Joker-so. ENJOY? #LEGOBatmanMovie",FALSE,0,NA,2017-02-19 07:50:56,FALSE,NA,"833222319229325313",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","perryhull",36,TRUE,FALSE,NA,NA
"1308","RT @VivziePop: https://t.co/fhIHDTPv4G Finished this goofy thing. I love ""Between two ferns""-and Lego Joker-so. ENJOY? #LEGOBatmanMovie",FALSE,0,NA,2017-02-19 07:50:49,FALSE,NA,"833222290368294912",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AminMcButt",36,TRUE,FALSE,NA,NA
"1309","RT @LEGOBatmanMovie: Straight up SAVAGE. #LEGOBatmanMovie is now playing! https://t.co/l6HJrgnC1O",FALSE,0,NA,2017-02-19 07:50:36,FALSE,NA,"833222236907544576",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","charissgarcia",190,TRUE,FALSE,NA,NA
"1310","https://t.co/fhIHDTPv4G Finished this goofy thing. I love ""Between two ferns""-and Lego Joker-so. ENJOY? #LEGOBatmanMovie",FALSE,131,NA,2017-02-19 07:50:26,FALSE,NA,"833222193974804482",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","VivziePop",36,FALSE,FALSE,NA,NA
"1311","RT @MarkMahon: Weekend Forecasts: #LEGOBatmanMovie - $76M, #FiftyShadesDarker- $38.8M, #JohnWick2 - $24.5M, #SplitMovie - $7.6M &amp; #HiddenFi…",FALSE,0,NA,2017-02-19 07:50:21,FALSE,NA,"833222175733710850",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LavelleMcelreat",436,TRUE,FALSE,NA,NA
"1312","RT @MarkMahon: Weekend Actuals: #LEGOBatmanMovie - $53M, #FiftyShadesDarker- $46.6, #JohnWick2 - $30.4M, #SplitMovie - $9.5M &amp; #HiddenFigur…",FALSE,0,NA,2017-02-19 07:50:21,FALSE,NA,"833222173502349313",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","OswaldoMassmann",412,TRUE,FALSE,NA,NA
