"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"36","RT @MariahCarey: Proud to be part of the #LEGOBatmanMovie! Thank you everyone for making it the #1 movie in the country! <ed><U+00A0><U+00BD><ed><U+00B2><U+0095><ed><U+00A0><U+00BD><ed><U+00B2><U+0095><ed><U+00A0><U+00BE><ed><U+00B6><U+0087> https://t.co/t…",FALSE,0,NA,2017-04-28 16:58:58,FALSE,NA,"858002612255432710",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dzhambulat7q3n1",707,TRUE,FALSE,NA,NA
"37","Happy #NationalSuperheroDay! #LEGOBatmanMovie @LEGOBatmanMovie @arnettwill https://t.co/VVtbEwF8T6",FALSE,1,NA,2017-04-28 16:55:32,FALSE,NA,"858001749914865664",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","adamp5104",0,FALSE,FALSE,NA,NA
"38","Lego Videos on Youtube https://t.co/Qvbmvil5ee #LEGO #LEGOBatmanMovie #LEGODimensions #Minifigure #LegoBatman https://t.co/5P2NIbMN6b",FALSE,0,NA,2017-04-28 16:40:44,FALSE,NA,"857998025096081410",NA,"<a href=""http://example.com"" rel=""nofollow"">Twitter Tobor</a>","VOETBALSHIRTS15",0,FALSE,FALSE,NA,NA
"39","RT @LEGOBatmanMovie: Batman never disappoints on #TakeYourChildToWorkDay. #LEGOBatmanMovie https://t.co/InZTvrvmON",FALSE,0,NA,2017-04-28 16:24:18,FALSE,NA,"857993889143181312",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FuckKevin_822",174,TRUE,FALSE,NA,NA
"40","20% OFF #LEGO at #TescoDirect with forward2me
https://t.co/uDRJUpWaNe
#LEGOBatmanMovie #LegoStarWars #Disney
#Sales… https://t.co/Jrgb5Ixfy4",FALSE,0,NA,2017-04-28 14:34:00,TRUE,NA,"857966131348418560",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","forward2me",0,FALSE,FALSE,NA,NA
"41","Lego Videos on Youtube https://t.co/Qvbmvil5ee #LEGO #LEGOBatmanMovie #LEGODimensions #LEGOWorlds #Lego #Minifigures https://t.co/5P2NIbMN6b",FALSE,0,NA,2017-04-28 14:10:42,FALSE,NA,"857960267740839936",NA,"<a href=""http://example.com"" rel=""nofollow"">Twitter Tobor</a>","VOETBALSHIRTS15",0,FALSE,FALSE,NA,NA
"42","The Lego Batman Movie. - 7/10. So many jokes. So many references. Full on, hard to keep up. Exhausting. Would watch again. #legobatmanmovie",FALSE,0,NA,2017-04-28 13:56:43,FALSE,NA,"857956750107918336",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ImaDaveDave",0,FALSE,FALSE,NA,NA
"43","RT @LEGOBatmanMovie: Batman never disappoints on #TakeYourChildToWorkDay. #LEGOBatmanMovie https://t.co/InZTvrvmON",FALSE,0,NA,2017-04-28 12:51:21,FALSE,NA,"857940297178791937",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","1005334757",174,TRUE,FALSE,NA,NA
"44","Our current favourite superhero has got to be #LEGOBatman! https://t.co/M1wWRzh4AD #NationalSuperheroDay #LEGOBatmanMovie",FALSE,0,NA,2017-04-28 12:45:09,FALSE,NA,"857938738038669314",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","eXPD8_fm",0,FALSE,FALSE,NA,NA
"45","RT @FinalCutKing: The best part of date night with Batman? Flowers and the Batmobile.  #ad #LEGOBatmanMovie @Nickelodeon https://t.co/UJnWH…",FALSE,0,NA,2017-04-28 11:16:15,FALSE,NA,"857916364786343936",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ganba41635399",334,TRUE,FALSE,NA,NA
"46","RT @LEGOBatmanMovie: Just a reminder on #NationalBatAppreciationDay: he works alone. That’s his motto. Copyright: Batman. #LegoBatmanMovie…",FALSE,0,NA,2017-04-28 10:53:02,FALSE,NA,"857910521328091137",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","5J3YzOGnNSqR0Wc",138,TRUE,FALSE,NA,NA
"47","RT @LEGOBatmanMovie: Batman never disappoints on #TakeYourChildToWorkDay. #LEGOBatmanMovie https://t.co/InZTvrvmON",FALSE,0,NA,2017-04-28 10:35:19,FALSE,NA,"857906062443372544",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","IamDoriung",174,TRUE,FALSE,NA,NA
"48","RT @LEGOBatmanMovie: Batman never disappoints on #TakeYourChildToWorkDay. #LEGOBatmanMovie https://t.co/InZTvrvmON",FALSE,0,NA,2017-04-28 10:12:41,FALSE,NA,"857900368595898368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","prankmaster_122",174,TRUE,FALSE,NA,NA
"49","RT @LEGOBatmanMovie: Batman never disappoints on #TakeYourChildToWorkDay. #LEGOBatmanMovie https://t.co/InZTvrvmON",FALSE,0,NA,2017-04-28 09:32:44,FALSE,NA,"857890313146445824",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BwetMwen",174,TRUE,FALSE,NA,NA
"50","RT @LEGOBatmanMovie: Always give credit where credit’s due, unless Batman deserves all the credit. Then scratch that. #LEGOBatmanMovie http…",FALSE,0,NA,2017-04-28 09:03:30,FALSE,NA,"857882959294156801",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","firebeast80",119,TRUE,FALSE,NA,NA
"51","Exclusive Wonder Woman Figure in Upcoming DK DC Guide [BZPower] https://t.co/DlAqFzCqqA #LEGOBatmanMovie",FALSE,0,NA,2017-04-28 08:34:34,FALSE,NA,"857875678573641728",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","legobatmannews",0,FALSE,FALSE,NA,NA
